日期,新增确诊,新增出院,新增死亡,新增疑似,累计确诊,累计出院,累计死亡,现有确诊,重症,危重,现有疑似,发热门诊,首诊,当日核酸检测
2020年3月31日,1,173,5,0,50007,46175,2553,1279,310,122,0,327,220,13297
2020年3月30日,0,269,1,0,50006,46002,2548,1456,349,144,0,278,182,11325
2020年3月29日,0,315,4,0,50006,45733,2547,1726,426,171,0,245,145,11771
2020年3月28日,0,467,5,0,50006,45418,2543,2045,514,192,0,210,128,12350
2020年3月27日,0,360,3,0,50006,44951,2538,2517,658,224,0,241,148,13991
2020年3月26日,0,523,4,0,50006,44591,2535,2880,753,242,0,297,192,12639
2020年3月25日,0,382,5,0,50006,44068,2531,3407,912,283,0,316,203,11982
2020年3月24日,0,472,2,0,50006,43686,2526,3794,1045,313,0,350,202,9844
2020年3月23日,1,426,7,0,50006,43214,2524,4268,1198,329,0,345,210,10441
2020年3月22日,0,434,9,0,50005,42788,2517,4700,1338,361,0,356,224,8706
2020年3月20日,0,502,6,0,50005,41891,2504,5610,1509,392,0,482,281,9930
2020年3月20日,0,502,6,0,50005,41891,2504,5610,1509,392,0,482,281,9930
2020年3月19日,0,624,2,0,50005,41389,2498,6118,1640,422,0,503,307,10168
2020年3月18日,0,733,6,0,50005,40765,2496,6744,1779,443,0,503,325,11613
2020年3月17日,1,812,10,0,50005,40032,2490,7483,2041,473,0,630,396,12663
2020年3月16日,1,836,11,0,50004,39220,2480,8304,2191,504,1,598,341,11745
2020年3月15日,4,752,13,2,50003,38384,2469,9150,2345,533,15,612,377,11804
2020年3月14日,4,1181,10,1,49999,37632,2456,9911,2489,569,15,585,342,16234
2020年3月13日,4,1254,10,0,49995,36451,2446,11098,2819,591,30,701,429,12927
2020年3月12日,5,1103,6,1,49991,35197,2436,12358,3161,632,44,679,395,16258
2020年3月11日,8,1053,7,2,49986,34094,2430,13462,3346,657,152,638,391,16089
2020年3月10日,13,1212,19,6,49978,33041,2423,14514,3502,715,192,682,350,19379
2020年3月9日,17,896,16,12,49965,31829,2404,15732,3722,749,230,795,395,26138
2020年3月8日,36,1163,18,28,49948,30933,2388,16627,3944,791,253,862,502,24807
2020年3月7日,41,1259,21,42,49912,29770,2370,17772,4026,824,258,1120,664,20196
2020年3月6日,74,1157,21,46,49871,28511,2349,19011,4185,843,256,1252,748,24943
2020年3月5日,126,1038,23,42,49797,27354,2328,20115,4345,863,232,1400,784,28922
2020年3月4日,131,1426,23,61,49671,26316,2305,21050,4448,894,247,1705,1062,23136
2020年3月3日,114,1859,31,43,49540,24890,2282,22368,4751,972,234,1827,1050,28637
2020年3月2日,111,1846,24,62,49426,23031,2251,24144,5023,997,316,2213,1258,21202
2020年3月1日,193,1958,32,70,49315,21185,2227,25903,5204,1021,340,2705,1585,18127
2020年2月29日,565,1675,26,50,49122,19227,2195,27700,5374,1019,393,2546,1591,22277
2020年2月28日,420,1726,37,114,48557,17552,2169,28836,5529,1056,788,2626,1649,20993
2020年2月27日,313,2498,28,295,48137,15826,2132,30179,5693,1082,1488,2977,1886,23495
2020年2月26日,383,1535,19,341,47824,13328,2104,32392,5946,1103,1459,2911,1948,20100
2020年2月25日,370,1456,42,242,47441,11793,2085,33545,6173,1182,1447,3485,2380,18547
2020年2月24日,464,1391,56,282,47071,10337,2043,34691,6383,1264,1529,3467,2287,18790
2020年2月23日,348,772,131,318,46607,8946,1987,35674,7024,1305,1877,3394,2230,14946
2020年2月22日,541,965,82,454,46201,8171,1856,36174,7774,1454,2382,3547,2279,17767
2020年2月21日,314,992,90,927,,7206,1774,36680,7468,2087,3414,3743,2210,14388
